Topic,TopWords
1,"[['south', 'game', 'korea', 'soon', 'lost', 'hope', 'crowd', 'success', 'florida', 'high', 'making', 'tomorrow', 'nation', 'amazing', 'security', 'big', 'man', 'leader', 'thank', 'record', 'national', 'way', 'best', 'run', 'make', 'donald', 'america', 'realdonaldtrump', 'great', 'trump']]"
2,"[['donaldjtrumpjr', 'men', 'approval', 'event', 'ohio', 'texas', 'golf', 'winning', 'year', 'plan', 'wow', 'way', 'terrible', 'political', 'presidential', 'big', 'thing', 'woman', 'debate', 'nice', 'say', 'congratulation', 'life', 'night', 'trump', 'great', 'medium', 'realdonaldtrump', 'good', 'thank']]"
3,"[['crime', 'wait', 'tariff', 'complete', 'apprenticenbc', 'repo', 'massive', 'hit', 'apprentice', 'endorsement', 'justice', 'case', 'mueller', 'enjoy', 'order', 'washington', 'morning', 'witch', 'hunt', 'coming', 'happy', 'book', 'fbi', 'law', 'foxandfriends', 'strong', 'total', 'great', 'amp', 'thanks']]"
4,"[['power', 'price', 'policy', 'ready', 'protect', 'second', 'ivankatrump', 'usa', 'market', 'immigration', 'vet', 'drug', 'administration', 'agree', 'incredible', 'right', 'iran', 'gop', 'live', 'york', 'economy', 'wall', 'military', 'whitehouse', 'love', 'trump', 'border', 'new', 'realdonaldtrump', 'president']]"
5,"[['watching', 'point', 'carolina', 'city', 'need', 'join', 'news', 'illegal', 'american', 'wonderful', 'makeamericagreatagain', 'day', 'election', 'maga', 'white', 'right', 'watch', 'going', 'family', 'poll', 'tonight', 'got', 'great', 'thank', 'realdonaldtrump', 'house', 'amp', 'today', 'trump', 'vote']]"
6,"[['remember', 'sma', 'thats', 'end', 'long', 'business', 'trade', 'story', 'honor', 'repo', 'getting', 'interview', 'dont', 'today', 'cnn', 'like', 'real', 'better', 'china', 'united', 'world', 'great', 'know', 'fake', 'news', 'state', 'people', 'country', 'time', 'amp']]"
7,"[['team', 'economic', 'question', 'senator', 'tremendous', 'read', 'friend', 'including', 'care', 'ant', 'state', 'youre', 'cou', 'mexico', 'history', 'crooked', 'impo', 'country', 'year', 'stop', 'million', 'people', 'campaign', 'clinton', 'suppo', 'look', 'hillary', 'obama', 'american', 'job']]"
8,"[['happen', 'home', 'like', 'celebapprentice', 'trying', 'schiff', 'believe', 'yesterday', 'open', 'government', 'john', 'office', 'problem', 'collusion', 'governor', 'working', 'people', 'let', 'doesnt', 'meeting', 'dont', 'russia', 'forward', 'looking', 'hard', 'work', 'year', 'need', 'democrat', 'want']]"
9,"[['ill', 'chance', 'level', 'thing', 'dont', 'ive', 'finally', 'fix', 'result', 'change', 'seen', 'month', 'war', 'cruz', 'greatest', 'barackobama', 'want', 'candidate', 'beautiful', 'guy', 'course', 'didnt', 'like', 'sta', 'big', 'day', 'true', 'think', 'realdonaldtrump', 'win']]"
10,"[['dollar', 'week', 'pelosi', 'proud', 'congress', 'fantastic', 'running', 'lot', 'word', 'obamacare', 'cut', 'far', 'dems', 'rating', 'going', 'bad', 'senate', 'people', 'fact', 'biden', 'joe', 'impeachment', 'money', 'said', 'republican', 'tax', 'foxnews', 'really', 'democrat', 'deal']]"
