Topic,TopWords
1,"[['watching', 'washington', 'isi', 'mueller', 'believe', 'rally', 'happen', 'justice', 'russia', 'fantastic', 'stop', 'fbi', 'collusion', 'dont', 'big', 'york', 'tomorrow', 'thing', 'totally', 'story', 'man', 'cnn', 'going', 'repo', 'medium', 'amp', 'trump', 'new', 'fake', 'news']]"
2,"[['wow', 'politics', 'big', 'schiff', 'lie', 'pennsylvania', 'went', 'miss', 'voter', 'seanhannity', 'ohio', 'interviewed', 'crowd', 'little', 'wait', 'statement', 'rating', 'including', 'terrible', 'candidate', 'interview', 'enjoy', 'mexico', 'like', 'forward', 'way', 'foxandfriends', 'tonight', 'foxnews', 'look']]"
3,"[['policy', 'plan', 'energy', 'attack', 'tariff', 'biden', 'lost', 'debate', 'read', 'speech', 'apprentice', 'new', 'joe', 'honor', 'family', 'crooked', 'life', 'dollar', 'million', 'trade', 'history', 'president', 'clinton', 'obama', 'true', 'deal', 'american', 'hillary', 'year', 'thanks']]"
4,"[['monday', 'melania', 'respected', 'country', 'awesome', 'stated', 'happened', 'syria', 'prime', 'scotland', 'minister', 'star', 'leadership', 'war', 'oil', 'cost', 'winner', 'wish', 'highly', 'god', 'agree', 'join', 'iran', 'national', 'john', 'illegal', 'friend', 'nation', 'security', 'congratulation']]"
5,"[['crazy', 'south', 'ing', 'place', 'carolina', 'korea', 'city', 'happy', 'running', 'word', 'good', 'american', 'looking', 'wonderful', 'book', 'going', 'soon', 'nice', 'america', 'watch', 'working', 'time', 'country', 'today', 'love', 'china', 'run', 'great', 'thank', 'realdonaldtrump']]"
6,"[['week', 'proud', 'incredible', 'big', 'business', 'apprenticenbc', 'success', 'florida', 'let', 'beautiful', 'people', 'making', 'morning', 'maga', 'billion', 'meeting', 'night', 'help', 'amazing', 'better', 'world', 'come', 'sta', 'total', 'best', 'work', 'good', 'america', 'make', 'great']]"
7,"[['today', 'presidential', 'country', 'youre', 'way', 'thats', 'far', 'obama', 'want', 'big', 'makeamericagreatagain', 'didnt', 'bad', 'hope', 'year', 'democrat', 'dems', 'campaign', 'republican', 'say', 'got', 'election', 'poll', 'vote', 'united', 'said', 'really', 'people', 'win', 'state']]"
8,"[['impeachment', 'team', 'trying', 'major', 'good', 'obamacare', 'democrat', 'end', 'hit', 'people', 'vote', 'leader', 'cou', 'celebapprentice', 'ant', 'senate', 'long', 'amp', 'golf', 'course', 'sma', 'impo', 'money', 'right', 'need', 'know', 'donald', 'time', 'president', 'trump']]"
9,"[['cut', 'new', 'high', 'administration', 'vote', 'problem', 'left', 'need', 'congress', 'white', 'big', 'law', 'real', 'usa', 'strong', 'wall', 'crime', 'military', 'tax', 'people', 'house', 'suppo', 'democrat', 'dont', 'great', 'want', 'border', 'country', 'amp', 'job']]"
10,"[['chance', 'mark', 'case', 'play', 'tower', 'decision', 'order', 'mike', 'national', 'building', 'act', 'ready', 'hotel', 'woman', 'iowa', 'best', 'gop', 'getting', 'point', 'barackobama', 'fight', 'remember', 'wrong', 'witch', 'hunt', 'economy', 'day', 'think', 'like', 'amp']]"
