words,sentiment_coeff
’,-1.0021799687180548
great,0.9989952176917658
trump,-1.0041250841388911
not,1.0030392382342663
president,1.003314365794812
thank,1.0060754481342413
people,-1.0004270136122524
would,-1.003967119043809
thanks,-1.0030977762708142
no,1.003633636862729
country,-1.001452122195403
get,-1.0043009561139153
today,-1.002392412095669
obama,0.9983111770933
one,-0.9991536569399824
like,1.0028119258630106
time,1.0023593846226593
big,-0.9999593823896865
',-1.000678635705373
democrats,0.9992893224842098
new,1.0004201700714739
good,0.9990264307908233
vote,1.0053232753580388
going,1.0001243099008281
america,-1.004525283011065
want,1.0016016110137966
never,1.000298539858536
many,-1.0016404631412934
us,-0.999008000967639
donald_trump,-0.9988803522360593
see,1.0019430807616063
china,-1.0000146450112224
love,-1.0012953576051418
back,-0.9988116328595835
need,0.9987676807431379
%,-0.998890126495315
best,-0.9992891872068241
go,0.9992986171356083
much,-1.0046114766555654
way,-0.9990958364976203
make,-1.0024462277462005
win,-1.0028557043204303
know,-1.0024139757339532
true,1.0036483402392902
even,-1.0020313385372575
said,-0.9994158830648489
election,0.9995343264131598
must,1.0019151274875158
fake_news,1.0042272843090034
—,-0.9984898008791815
day,-1.0015113073211486
show,1.0007417988894722
right,0.9990946687313889
done,-1.0001575587805693
ever,1.0015542875792016
think,1.003421220733127
world,0.9996839855488219
watch,-0.9988568776179629
made,0.9985704770309348
media,1.000222764425124
years,0.9988627841178602
work,0.9997243726988382
tonight,1.0057819307130293
bad,-1.0019415709093054
via,-0.9992187218993568
really,-1.0002242918728514
got,0.9986768970255465
run,1.002714656339612
american,-1.0029047745923412
always,0.9999562051596612
jobs,-1.0008288410718242
also,1.0007909449985162
first,-1.0002151185928054
united_states,1.0015346788852226
nothing,-0.999580407776992
keep,1.0027153551740435
against,-1.0030726774921872
donnot,1.001877930347053
deal,-1.0001900681919371
well,0.9997657586565725
say,1.0009973286907443
amazing,-1.0002083813990714
support,-1.003404958373425
man,0.9994471247782498
economy,-1.000869106103703
job,-0.9999194436916805
let,1.0013395025731195
biden,-0.9983900646305603
republicans,-1.0032081886722843
take,-0.9997344164885569
make_america,1.0010832065910102
dems,0.9997288151772608
money,1.0010558090068262
another,0.999025687082874
could,-1.0033062491469749
$,-1.0023774161878896
help,-1.0000062680581094
congratulations,1.0009512329965071
history,-0.999947651268192
better,-0.9990851708618155
campaign,1.0038261660153922
mr_trump,0.9989354984504315
year,-1.0038455858785875
state,1.0016060650322127
look,1.0039491858416905
news,1.0008527705972587
americans,0.9999205107173648
hope,-0.9990810249990735
strong,-1.0035244660941265
stop,-1.0043759550055
cannot,1.003021605508977
business,0.99826375065505
real,0.9997342883534359
tagain,0.9989646779163216
senate,0.9994951401807872
white_house,-1.0000334819269063
interview,-1.0013947666818297
every,0.9999990359390915
two,1.0032810746324823
wow,-1.0024632604649262
far,-1.0024372395740406
–,0.9998217153705989
‘,1.0005275934257343
military,0.9992428493574513
donald,1.0024153434058225
new_york,-1.0028033949153796
record,1.0002311697105453
put,-1.0043747959887874
